timestamp_ms,bid0_price,bid0_size,bid0_orders,bid1_price,bid1_size,bid1_orders,bid2_price,bid2_size,bid2_orders,bid3_price,bid3_size,bid3_orders,bid4_price,bid4_size,bid4_orders,bid5_price,bid5_size,bid5_orders,bid6_price,bid6_size,bid6_orders,bid7_price,bid7_size,bid7_orders,bid8_price,bid8_size,bid8_orders,bid9_price,bid9_size,bid9_orders,bid10_price,bid10_size,bid10_orders,bid11_price,bid11_size,bid11_orders,bid12_price,bid12_size,bid12_orders,bid13_price,bid13_size,bid13_orders,bid14_price,bid14_size,bid14_orders,bid15_price,bid15_size,bid15_orders,bid16_price,bid16_size,bid16_orders,bid17_price,bid17_size,bid17_orders,bid18_price,bid18_size,bid18_orders,bid19_price,bid19_size,bid19_orders,bid20_price,bid20_size,bid20_orders,bid21_price,bid21_size,bid21_orders,bid22_price,bid22_size,bid22_orders,bid23_price,bid23_size,bid23_orders,bid24_price,bid24_size,bid24_orders,ask0_price,ask0_size,ask0_orders,ask1_price,ask1_size,ask1_orders,ask2_price,ask2_size,ask2_orders,ask3_price,ask3_size,ask3_orders,ask4_price,ask4_size,ask4_orders,ask5_price,ask5_size,ask5_orders,ask6_price,ask6_size,ask6_orders,ask7_price,ask7_size,ask7_orders,ask8_price,ask8_size,ask8_orders,ask9_price,ask9_size,ask9_orders,ask10_price,ask10_size,ask10_orders,ask11_price,ask11_size,ask11_orders,ask12_price,ask12_size,ask12_orders,ask13_price,ask13_size,ask13_orders,ask14_price,ask14_size,ask14_orders,ask15_price,ask15_size,ask15_orders,ask16_price,ask16_size,ask16_orders,ask17_price,ask17_size,ask17_orders,ask18_price,ask18_size,ask18_orders,ask19_price,ask19_size,ask19_orders,ask20_price,ask20_size,ask20_orders,ask21_price,ask21_size,ask21_orders,ask22_price,ask22_size,ask22_orders,ask23_price,ask23_size,ask23_orders,ask24_price,ask24_size,ask24_orders,bid_vol_total,ask_vol_total,imbalance,spread,mid_price
1781092866356,60940,43.31,37,60939.9,0.01,1,60939.8,0.01,1,60939.7,0.02,2,60939.6,0.24,2,60939.5,0.01,1,60939.2,0.01,1,60939.1,0.25,1,60939,0.23,3,60938.9,0.04,1,60938.8,0.25,1,60938.7,0.02,2,60938.6,0.01,1,60938.5,0.26,10,60938.4,6.72,2,60938.1,0.47,2,60938,0.14,5,60937.9,0.01,1,60937.8,1.01,2,60937.7,0.01,1,60937.6,0.02,2,60937.5,3.35,8,60937.4,0.02,1,60937.3,0.43,10,60937.1,0.06,5,60940.1,459.67,49,60940.2,0.21,2,60940.4,0.83,1,60940.7,0.85,2,60940.8,50.02,2,60940.9,51,2,60941.4,0.01,1,60941.6,0.01,1,60941.7,0.03,2,60941.8,89.23,3,60941.9,101.79,2,60942,0.02,2,60942.1,0.01,1,60942.2,75.01,2,60942.3,0.01,1,60942.7,65.7,2,60942.8,0.01,1,60942.9,151.81,8,60943,0.01,1,60943.1,91.21,3,60943.2,18.84,4,60943.4,0.01,1,60943.8,0.01,1,60943.9,0.83,1,60944,0.01,1,56.91,1157.14,-0.9062,0.1,60940.1
1781092896656,60943.5,537.03,36,60943.4,0.01,1,60943.2,0.02,1,60943.1,101.13,3,60942.9,0.02,2,60942.1,0.83,1,60942,0.02,2,60941.8,0.01,1,60941.6,0.83,1,60941.3,0.03,2,60941.2,125.86,5,60941.1,46.02,3,60941,0.01,1,60940.9,0.84,2,60940.8,0.01,1,60940.6,0.01,1,60940.5,0.83,1,60940.2,0.01,1,60940.1,0.01,1,60940,0.83,1,60939.8,0.04,4,60939.7,0.83,1,60939.6,0.83,2,60939.4,0.01,1,60939.3,0.83,1,60943.6,218.25,13,60943.7,0.01,1,60944,0.06,2,60944.4,0.01,1,60944.5,0.01,1,60944.6,0.02,2,60944.7,15.97,5,60944.9,0.01,1,60945,0.01,1,60945.1,0.01,1,60945.4,0.02,2,60945.5,0.42,2,60945.6,0.82,1,60945.8,0.83,1,60945.9,0.03,2,60946,0.06,3,60946.2,0.01,1,60946.3,0.85,3,60946.4,25.58,4,60946.5,35.81,1,60946.6,0.49,1,60946.7,0.01,1,60946.8,0.84,2,60946.9,39.22,1,60947,0.01,1,816.9,339.36,0.413,0.1,60943.6
1781092926956,60946,192.26,12,60945.9,0.01,1,60945.7,0.21,2,60945.6,0.4,1,60945,0.01,1,60944.9,0.01,1,60944.8,0.01,1,60944.7,0.01,1,60944.4,0.01,1,60944.2,0.01,1,60944,0.01,1,60943.9,0.01,1,60943.6,0.01,1,60943.5,0.83,1,60943.4,0.02,2,60943.3,0.01,1,60943.2,0.82,1,60943.1,0.03,3,60943,34.1,2,60942.9,0.03,3,60942.8,0.83,1,60942.7,0.01,1,60942.5,0.01,1,60942.4,0.84,2,60942.2,0.02,2,60946.1,277.94,23,60946.5,0.02,1,60946.8,0.01,1,60946.9,179.04,3,60947,50.01,2,60947.1,50,1,60947.2,50,1,60947.6,0.02,2,60947.7,51.24,4,60948,0.02,2,60948.1,0.03,3,60948.2,1.83,2,60948.7,0.01,1,60948.8,0.84,2,60949,0.02,2,60949.1,14.92,3,60949.2,10.71,2,60949.3,0.01,1,60949.4,0.87,3,60949.7,0.01,1,60949.8,0.83,1,60950,0.01,1,60950.1,0.02,2,60950.2,0.83,1,60950.4,0.01,1,230.52,689.25,-0.4987,0.1,60946.1
1781092957356,60938.7,540.83,41,60938.6,0.01,1,60938.5,0.01,1,60937.7,0.4,1,60937.4,0.01,1,60937.3,0.01,1,60937.2,0.83,2,60937,0.01,1,60936.9,0.83,1,60936.7,0.04,3,60936.6,76.03,4,60936.5,2.55,4,60936.2,0.03,2,60936.1,2.47,2,60936,0.02,2,60935.9,0.01,1,60935.8,0.83,1,60935.4,0.05,3,60935.3,0.83,1,60935.2,0.01,1,60935.1,0.01,1,60935,0.84,2,60934.9,0.01,1,60934.8,0.02,2,60934.6,0.83,1,60938.8,172.17,9,60938.9,0.22,3,60939,0.01,1,60939.2,1,1,60939.7,0.83,1,60939.8,0.03,2,60939.9,0.01,1,60940,0.01,1,60940.1,0.83,1,60940.3,0.03,3,60940.4,34.88,3,60940.5,170,1,60940.6,0.83,1,60940.8,0.01,1,60941,0.02,2,60941.2,0.83,1,60941.4,0.04,2,60941.5,1.14,3,60941.7,0.01,1,60941.8,0.02,2,60941.9,10.72,2,60942,0.04,2,60942.2,0.02,2,60942.3,41.06,4,60942.5,0.01,1,627.52,434.77,0.1814,0.1,60938.8
1781092987656,60999.9,52.95,10,60999.8,0.01,1,60999.2,0.01,1,60999,0.01,1,60998.8,0.02,2,60998.7,0.01,1,60998.5,0.01,1,60998.4,0.01,1,60998.1,0.04,3,60998,2.95,1,60997.9,0.01,1,60997.7,0.01,1,60997.3,0.02,2,60997.2,0.01,1,60997,0.01,1,60996.7,0.01,1,60996.6,0.03,1,60996.3,0.83,2,60996,0.05,3,60995.9,0.82,1,60995.8,0.01,1,60995.7,0.01,1,60995.6,0.03,3,60995.5,0.82,1,60995.3,0.01,1,61000,1497.8,26,61000.1,0.01,1,61000.2,0.02,1,61000.3,0.82,1,61000.5,0.01,1,61000.6,0.82,1,61001.1,0.82,1,61001.3,0.01,1,61001.5,0.02,2,61001.6,0.82,1,61001.8,0.01,1,61002,0.83,2,61002.1,0.01,1,61002.2,0.01,1,61002.7,0.01,1,61002.9,0.02,2,61003,51.51,4,61003.1,10.18,3,61003.2,0.03,1,61003.3,0.01,1,61003.8,0.01,1,61003.9,0.01,1,61004,0.02,2,61004.1,0.02,2,61004.2,96.55,2,58.7,1660.38,-0.9317,0.1,60999.9
1781093017956,60995.5,93.13,14,60995.4,0.03,2,60995.3,49.18,1,60995.1,0.01,1,60994.5,0.01,1,60994.2,0.01,1,60994.1,0.01,1,60993.7,0.01,1,60993.4,0.01,1,60993.3,0.42,2,60993,0.05,4,60992.9,12,2,60992.8,0.43,3,60992.7,49.19,2,60992.6,75.01,2,60992.5,2.23,4,60992.4,0.01,1,60992.3,0.03,1,60992.2,0.01,1,60991.9,0.01,1,60991.8,0.83,2,60991.5,0.02,2,60991.4,0.83,2,60991.2,0.01,1,60991.1,0.31,2,60995.6,489.85,50,60995.7,0.01,1,60996,0.01,1,60996.9,0.01,1,60997,0.82,1,60997.2,0.02,2,60997.3,10.01,2,60997.6,0.01,1,60997.7,0.83,2,60997.8,0.01,1,60998,0.82,1,60998.2,0.02,2,60998.3,20.84,5,60998.6,0.01,1,60998.7,1.14,4,60998.9,0.04,2,60999,0.01,1,60999.2,0.83,2,60999.4,0.01,1,60999.6,0.01,1,60999.7,0.82,1,60999.9,0.02,2,61000,6.57,4,61000.1,0.02,2,61000.4,0.82,1,283.79,533.56,-0.3056,0.1,60995.6
1781093048256,61010.7,6.75,8,61010.6,0.01,1,61009.4,0.01,1,61009.2,0.01,1,61009.1,0.41,1,61009,0.01,1,61008.9,2,1,61008.6,0.01,1,61008,0.01,1,61007.6,0.04,1,61007.4,0.01,1,61006.8,0.01,1,61006.4,0.4,1,61005.6,0.01,1,61005.2,0.01,1,61005.1,4.16,2,61005,40.71,2,61004.9,0.01,1,61004.8,4,1,61004.5,10.06,1,61004.4,0.01,1,61004.1,0.32,1,61004,49.18,1,61003.9,116,1,61003.8,7.32,3,61010.8,317.27,21,61010.9,0.01,1,61011,0.01,1,61011.1,0.02,2,61011.8,0.3,1,61012.2,0.03,1,61012.3,0.01,1,61012.7,0.01,1,61012.8,0.01,1,61012.9,54.01,3,61013,0.01,1,61013.5,0.01,1,61013.6,40,2,61013.7,16.2,1,61013.8,0.01,1,61013.9,10.06,1,61014,0.02,2,61014.1,0.02,2,61014.2,0.02,2,61014.4,16,1,61016.1,0.82,1,61016.5,1.62,2,61016.6,39.99,1,61016.7,47.59,2,61016.8,0.03,1,241.47,544.08,-0.3852,0.1,61010.8
1781093078556,61014.5,687.06,53,61014,0.01,1,61013,0.01,1,61012.8,0.02,1,61012.7,59.78,1,61012.5,0.03,2,61012.4,59.79,2,61011.8,0.01,1,61011.4,0.01,1,61011.2,0.03,1,61011.1,0.01,1,61011,0.01,1,61010.7,49.21,3,61010.6,75.01,2,61010.5,29.44,8,61009.2,0.01,1,61009,0.01,1,61008.8,49.19,2,61008.7,94.14,2,61008.4,0.01,1,61008,0.03,3,61007.4,0.01,1,61007.3,1.96,2,61007.2,78.88,4,61006.9,49.19,2,61014.6,0.01,1,61016.7,0.04,4,61017,0.02,2,61017.1,0.02,2,61017.2,17.4,1,61017.4,0.25,1,61017.5,0.02,2,61017.6,2.41,2,61017.7,0.01,1,61017.8,0.05,2,61017.9,0.01,1,61018.3,0.02,2,61018.6,0.41,2,61018.8,17.71,1,61019,46.31,1,61019.1,0.02,1,61020,0.04,2,61020.3,18.11,1,61020.4,2.02,3,61020.5,0.01,1,61020.8,29.92,1,61021,0.01,1,61021.5,1,1,61021.6,0.83,2,61021.9,9.9,2,1233.86,146.55,0.7877,0.1,61014.6
1781093108856,61084.3,584.68,55,61084.2,59.81,3,61084.1,59.8,2,61084,59.78,1,61083.9,1.02,2,61083.4,0.02,1,61083.3,4,1,61083,0.02,2,61082.9,0.01,1,61082.7,0.01,1,61082.6,0.01,1,61082.5,37.01,3,61082.4,0.01,1,61082.2,0.01,1,61081.8,0.02,2,61081.7,0.01,1,61081.2,0.01,1,61081.1,0.03,1,61081,77.92,2,61080.9,44.21,4,61080.5,3.12,1,61080.2,140.4,5,61080.1,95.88,13,61080,75.04,3,61079.9,39.38,6,61084.4,138.26,2,61084.5,1.23,12,61084.6,0.2,1,61084.7,0.38,3,61084.8,0.01,1,61084.9,1.38,7,61085,0.01,1,61085.1,0.01,1,61085.2,0.03,1,61085.3,0.03,3,61085.4,6.41,2,61085.5,0.01,1,61085.7,0.11,7,61085.8,25.23,2,61086,0.11,4,61086.2,0.02,2,61086.3,32.01,2,61086.6,0.34,2,61086.8,0.84,4,61086.9,0.47,2,61087,68,2,61087.1,0.02,2,61087.3,0.02,1,61087.4,0.05,3,61087.5,0.03,2,1282.21,275.21,0.6466,0.1,61084.4
1781126914503,61565.6,204.63,28,61564.8,0.01,1,61564.5,0.01,1,61564.4,7.17,2,61564.3,16.25,1,61563.7,0.82,1,61563.6,0.01,1,61563.5,0.64,2,61563.4,0.5,1,61563.3,0.01,1,61563.2,0.87,3,61563.1,0.02,2,61563,6.19,4,61562.9,0.82,1,61562.6,0.01,1,61562.4,0.82,1,61562.2,0.01,1,61562.1,0.82,1,61561.7,0.01,1,61561.6,0.83,2,61561.5,16.03,2,61561.3,0.01,1,61561.2,1.63,2,61560.9,0.82,1,61560.8,39.28,1,61565.7,161.95,18,61566,0.02,2,61566.1,0.82,1,61566.5,0.82,1,61566.6,0.81,1,61566.8,0.03,3,61566.9,2.01,2,61567,0.83,2,61567.4,0.82,1,61567.8,0.01,1,61567.9,0.82,1,61568.1,35.24,1,61568.4,0.82,1,61568.7,0.01,1,61568.8,1.82,2,61569,0.02,2,61569.2,0.83,2,61569.5,0.82,1,61569.8,0.01,1,61569.9,19.91,2,61570,21.18,1,61570.1,0.3,1,61570.4,0.83,2,61570.5,35.24,1,61570.6,0.01,1,298.22,285.98,0.021,0.1,61565.6
